_id,movie_name,emoji_array
624bc34a8df43a0264f76532,Boss Fight,&#128104; &#129324;
624bce528df43a0264f76533,Holidays,&#127876;
624bce7e8df43a0264f76534,House on Haunted Hill,&#127968; &#128123; &#127956;&#65039;
624bcf648df43a0264f76535,Dracula 2000,&#129499;&#8205;&#9794;&#65039;
624bcf858df43a0264f76536,Arctic Dogs,&#129398; &#128021;
624bcfd78df43a0264f76537,Pandemic,&#129298; &#128567; &#128104;&#8205;&#9877;&#65039;
624bd05b8df43a0264f76538,Paths of Glory,&#128739;&#65039; &#127749;
624bd0b98df43a0264f76539,Bullet Head,&#128299; &#128104;
624bd0ea8df43a0264f7653a,Number Seventeen,&#128290;
624bd1b58df43a0264f7653b,Stomp the Yard,&#129462; &#9971;
624bd1e38df43a0264f7653c,Starship Troopers 3: Marauder,&#11088; &#129686; &#127894;&#65039;
624bd21b8df43a0264f7653d,Denial,&#128581;&#8205;&#9794;&#65039;
624bd2328df43a0264f7653e,My Girl,&#128587;&#8205;&#9794;&#65039; &#128103;
624bd2b88df43a0264f7653f,U Turn,&#8617;&#65039; &#8618;&#65039;
624bd3188df43a0264f76540,The Third One,&#128590;&#8205;&#9794;&#65039; &#128590;&#8205;&#9794;&#65039; &#128587;&#8205;&#9794;&#65039;
624bf1f38df43a0264f76541,The Bodyguard,&#128110;&#8205;&#9794;&#65039; &#128170;
624bf2188df43a0264f76542,In Her Shoes,&#128105;&#8205;&#129456; &#129462; &#128096;
624c09438df43a0264f76543,Pirates of the Caribbean: Dead Men Tell No Tales,&#127988;&#8205;&#9760;&#65039; &#128755;&#65039; &#128128;
624c09878df43a0264f76544,The Nice Guys,&#128076; &#128104; &#128104;
624c09a78df43a0264f76545,Digimon: The Movie,&#128126; &#127909;
624c0a048df43a0264f76546,SuperFly,&#129464;&#8205;&#9794;&#65039; &#9992;&#65039;
624c0a528df43a0264f76547,Harry Potter: A History Of Magic,&#128104; &#9889; &#129668;
624c0ab98df43a0264f76548,The Stranger by the Shore,&#128100; &#127958;&#65039;
624c0ad98df43a0264f76549,Molly's Game,&#128105;&#8205;&#129456; &#127922;
624c0b2a8df43a0264f7654a,Spies in Disguise,&#128373;&#65039; &#128589;&#8205;&#9794;&#65039;
624c0cb58df43a0264f7654b,The Bunker Game,&#9762;&#65039; &#127922;
624c0d398df43a0264f7654c,Plan A,&#128161; &#127344;&#65039;
624c136b8df43a0264f7654d,Hearts in Atlantis,&#128149; &#129500;&#8205;&#9792;&#65039; &#9875;
624c13c08df43a0264f7654e,My Uncle Paco,&#128587;&#8205;&#9794;&#65039; &#128116; &#127474;&#127485;
624c15568df43a0264f7654f,The Death of Stalin,&#9760;&#65039; &#127479;&#127482; &#128104;&#8205;&#129456;
